,TZ2013,Area,diss,Zones,BY5Origins,BY5Destina,PTODOrigin,PTODDestin,midrich_jobs,selected_centers
844,2713,1569780.75142,0,2713.0,235.608,1454.7,292.569,17915.3,316.8909357529096,False
845,2714,760560.315283,0,2714.0,3844.89,2980.13,5376.59,1645.04,64.14796270301815,True
846,2715,587685.726718,0,2715.0,4652.26,904.742,6411.31,2330.68,16.678470302784717,True
847,2716,616912.786946,0,2716.0,4587.98,827.692,6486.96,1883.4,35.922859113690166,False
848,2717,1723196.86201,0,2717.0,5439.18,85.4253,9388.12,2479.3,1.282959254060363,False
849,2718,1174023.43993,0,2718.0,1634.74,27.5998,2308.76,31.1897,7.697755524362178,False
850,2719,536707.680784,0,2719.0,717.796,3.10308,1020.08,6.04546,1.282959254060363,False
851,2720,643537.304305,0,2720.0,1055.79,90.0842,1311.59,90.9442,25.65918508120726,False
852,2721,846970.377257,0,2721.0,622.718,1056.02,801.515,289.736,65.43092195707851,False
853,2722,526121.773232,0,2722.0,929.507,29.1077,1148.77,29.1437,7.697755524362178,False
854,2723,682005.451448,0,2723.0,616.95,35.6764,1074.54,47.0423,10.263674032482903,False
855,2724,5304607.28693,0,2724.0,2286.34,27.7677,10321.3,2737.03,6.414796270301815,False
856,2725,4803574.33459,0,2725.0,3195.24,2.65878,2482.35,899.312,0.0,False
857,2726,1226588.38934,0,2726.0,3141.1,969.048,4104.06,1396.63,85.95827002204432,False
858,2727,383520.88002,0,2727.0,0.0,3289.31,0.0,3315.62,456.7334944454892,True
859,2728,909757.989692,0,2728.0,1394.39,293.121,1667.43,297.229,69.2797997192596,False
860,2729,581559.495655,0,2729.0,11.5432,5588.34,13.2665,5633.35,785.1710634849421,True
861,2730,1574074.91698,0,2730.0,578.503,18.9835,1529.71,46.5718,5.131837016241452,False
862,2731,747077.21277,0,2731.0,0.0,0.0,0.0,0.0,0.0,False
863,2732,605890.152314,0,2732.0,0.0,0.0,0.0,0.0,0.0,False
864,2733,479881.382856,0,2733.0,688.931,0.0,802.198,0.0,0.0,False
865,2734,405101.653391,0,2734.0,0.0,35.1182,0.0,35.337,5.131837016241452,False
866,2735,817115.497728,0,2735.0,0.0,1.61289,0.0,0.0,1.282959254060363,False
867,2736,659292.340734,0,2736.0,0.0,18.5238,0.0,18.5689,3.848877762181089,False
868,2737,585837.327669,0,2737.0,0.0,0.0,0.0,0.0,0.0,False
869,2738,671345.685842,0,2738.0,0.0,0.0,0.0,0.0,0.0,False
870,2739,545826.771288,0,2739.0,0.0,0.0,0.0,0.0,0.0,False
871,2740,493962.566831,0,2740.0,0.0,0.0,0.0,0.0,0.0,False
872,2801,913743.164211,0,2801.0,1402.39,172.006,1785.45,461.8,69.2797997192596,False
873,2802,1849040.40007,0,2802.0,3208.45,112.564,3160.38,1780.83,55.16724792459561,False
874,2803,760902.182867,0,2803.0,871.861,1869.06,1153.92,757.903,642.7625862842418,True
875,2804,825728.522186,0,2804.0,791.373,939.19,1107.13,1035.95,278.40215813109876,False
876,2805,951208.854564,0,2805.0,1339.15,1571.89,1847.95,419.662,759.5118784037348,False
877,2806,1114498.88871,0,2806.0,0.0,13.1619,1473.9,4213.07,2.565918508120726,False
878,2807,717557.287102,0,2807.0,19.592,5198.02,22.1466,5568.64,744.1163673550105,True
879,2808,673041.363287,0,2808.0,433.724,26.3225,530.673,27.9936,5.131837016241452,False
880,2809,885253.847576,0,2809.0,1527.9,16.9515,1746.7,1924.57,3.848877762181089,False
881,2810,1406907.5646,0,2810.0,497.423,4.34711,1336.69,4898.66,1.282959254060363,False
882,2811,2087454.44535,0,2811.0,372.819,304.101,1048.73,2934.73,44.903573892112696,False
883,2812,889807.885649,0,2812.0,253.511,5.78536,892.723,1287.18,1.282959254060363,False
884,2813,902469.180788,0,2813.0,1185.68,206.479,1321.7,532.914,220.66899169838243,False
885,2814,639885.350301,0,2814.0,1360.37,50.5849,1487.71,561.121,15.395511048724355,False
886,2815,678334.51288,0,2815.0,446.591,2003.55,551.743,1080.15,794.1517782633647,True
887,2816,561941.078545,0,2816.0,363.863,990.601,425.352,1030.07,220.66899169838243,False
888,2817,1150411.90491,0,2817.0,2019.07,80.8791,2580.42,156.326,20.527348064965807,False
889,2818,859460.527982,0,2818.0,1165.86,5.97159,2393.15,3032.95,1.282959254060363,False
890,2819,1816085.86609,0,2819.0,3293.08,575.544,4252.1,1409.64,442.6209426508252,False
891,2820,1747109.61222,0,2820.0,3516.56,797.148,6458.25,2087.38,59.0161256867767,False
892,2821,1242288.51161,0,2821.0,2260.72,1253.41,2723.36,1338.78,419.52767607773865,True
893,2822,350179.456822,0,2822.0,0.0,1066.86,0.0,2392.89,144.974395708821,False
894,2823,243350.748384,0,2823.0,457.558,0.535825,907.501,98.8113,0.0,False
895,2824,175246.059813,0,2824.0,0.0,0.0,0.0,0.0,0.0,False
896,2825,758253.934795,0,2825.0,0.0,1.34778,1006.85,77.3821,0.0,False
897,2826,462328.080088,0,2826.0,170.642,0.678974,355.876,964.812,0.0,False
898,2901,13152198.3945,0,2901.0,1431.83,576.509,3917.47,18839.3,94.93898480046686,False
899,2902,1058643.73241,0,2902.0,173.941,988.005,210.481,755.292,110.33449584919121,False
900,2903,1335115.81831,0,2903.0,0.0,8015.47,0.0,8453.52,1132.8530213353004,True
901,2904,1376080.46681,0,2904.0,1948.67,2823.83,2654.69,786.601,73.12867748144069,True
902,2905,1059147.76008,0,2905.0,1254.14,1352.34,1810.91,364.937,37.205818367750524,False
903,2906,1522755.99366,0,2906.0,4544.18,2609.26,8715.53,3006.64,198.85868437935625,True
904,2907,1595278.70744,0,2907.0,4888.95,134.541,4750.09,3464.09,35.922859113690166,False
905,2908,1117319.76416,0,2908.0,3921.5,928.296,5524.24,1111.04,46.18653314617306,False
906,2909,1195543.38392,0,2909.0,3629.99,1372.34,4718.02,2273.17,76.97755524362178,True
907,2910,1456080.71397,0,2910.0,3274.72,487.722,7733.49,2573.84,33.356940605569434,False
908,2911,1389190.24364,0,2911.0,11038.6,1308.29,10551.2,4362.19,44.903573892112696,True
909,2912,1407075.06251,0,2912.0,8763.63,759.592,10255.8,4487.96,11.546633286543265,False
910,2913,927239.090736,0,2913.0,3328.96,1312.18,4247.18,1218.82,29.50806284338835,True
911,2914,1735096.5978,0,2914.0,9871.68,1612.29,13041.8,5812.36,53.88428867053524,True
912,2915,773279.009344,0,2915.0,1566.04,898.012,2047.11,515.299,10.263674032482903,False
913,2916,913347.241357,0,2916.0,608.973,4.56255,678.618,4.59347,1.282959254060363,False
914,2917,89405.2434754,0,2917.0,177.74,0.0,207.784,0.0,0.0,False
915,2918,694469.49174,0,2918.0,0.0,2587.91,0.0,2835.46,356.6626726287809,True
916,2919,1278585.04178,0,2919.0,0.0,2695.68,0.0,4757.23,399.0003280127729,True
917,2920,900159.51672,0,2920.0,244.113,0.0,441.571,1.40662,0.0,False
918,2921,749487.76532,0,2921.0,1977.8,141.436,2889.18,3083.27,15.395511048724355,False
919,2922,808400.410253,0,2922.0,514.645,145.256,4042.54,3444.94,33.356940605569434,False
920,2923,987234.826691,0,2923.0,874.664,1680.59,1506.85,663.559,52.601329416474876,False
921,3001,372333.087638,0,3001.0,0.0,2806.56,0.0,2814.32,581.1805420893444,True
922,3002,522967.386687,0,3002.0,1279.62,1110.61,1993.4,559.632,51.31837016241452,False
923,3003,359673.210947,0,3003.0,1487.04,278.888,2059.57,429.473,48.752451654293786,False
924,3004,404539.695406,0,3004.0,1.61785,2834.32,1.61136,2848.15,459.29941295360993,True
