,area_short,area_medium,area_long,sum,argmax,color
9868,0.0,20334.7361297607,0.0,20334.7361297607,1.0,tab:blue
9869,0.0,65417.5316619873,0.0,65417.5316619873,1.0,tab:blue
9870,0.0,110558.621276855,0.0,110558.621276855,1.0,tab:blue
9871,0.0,155056.912353516,0.0,155056.912353516,1.0,tab:blue
9872,0.0,200840.800415039,0.0,200840.800415039,1.0,tab:blue
9873,0.0,237923.01763916,4246.46064758301,242169.47828674302,1.0,tab:blue
9874,0.0,39744.4673614502,210255.53263855,250000.0000000002,2.0,tab:green
9875,0.0,0.0,250000.0,250000.0,2.0,tab:green
9876,0.0,0.0,250000.0,250000.0,2.0,tab:green
9877,0.0,0.0,250000.0,250000.0,2.0,tab:green
9878,0.0,0.0,250000.0,250000.0,2.0,tab:green
9879,0.0,0.0,250000.0,250000.0,2.0,tab:green
9880,0.0,0.0,250000.0,250000.0,2.0,tab:green
9881,0.0,0.0,46560.5718231201,46560.5718231201,2.0,tab:green
9882,0.0,0.0,0.0,0.0,,tab:grey
9883,0.0,0.0,0.0,0.0,,tab:grey
9884,0.0,0.0,0.0,0.0,,tab:grey
9885,0.0,0.0,0.0,0.0,,tab:grey
9886,0.0,0.0,0.0,0.0,,tab:grey
9887,0.0,0.0,0.0,0.0,,tab:grey
9888,0.0,0.0,0.0,0.0,,tab:grey
9889,0.0,0.0,0.0,0.0,,tab:grey
9890,0.0,0.0,0.0,0.0,,tab:grey
9891,0.0,0.0,0.0,0.0,,tab:grey
9892,0.0,0.0,0.0,0.0,,tab:grey
9893,0.0,0.0,0.0,0.0,,tab:grey
9894,0.0,0.0,0.0,0.0,,tab:grey
9895,0.0,0.0,0.0,0.0,,tab:grey
9896,0.0,0.0,0.0,0.0,,tab:grey
9897,0.0,0.0,0.0,0.0,,tab:grey
9898,0.0,0.0,0.0,0.0,,tab:grey
9899,0.0,0.0,0.0,0.0,,tab:grey
9900,0.0,0.0,0.0,0.0,,tab:grey
9901,0.0,0.0,0.0,0.0,,tab:grey
9902,0.0,0.0,0.0,0.0,,tab:grey
9903,0.0,0.0,0.0,0.0,,tab:grey
9904,0.0,0.0,0.0,0.0,,tab:grey
9905,0.0,0.0,0.0,0.0,,tab:grey
9906,0.0,0.0,0.0,0.0,,tab:grey
9907,0.0,0.0,0.0,0.0,,tab:grey
9908,0.0,0.0,0.0,0.0,,tab:grey
9909,0.0,0.0,0.0,0.0,,tab:grey
9910,0.0,0.0,0.0,0.0,,tab:grey
9911,0.0,0.0,0.0,0.0,,tab:grey
9912,0.0,0.0,31542.452293396,31542.452293396,2.0,tab:green
9913,0.0,0.0,249395.982139587,249395.982139587,2.0,tab:green
9914,0.0,0.0,250000.0,250000.0,2.0,tab:green
9915,0.0,0.0,249999.999984741,249999.999984741,2.0,tab:green
9916,0.0,0.0,250000.000015259,250000.000015259,2.0,tab:green
9917,0.0,0.0,249999.994918823,249999.994918823,2.0,tab:green
9918,0.0,0.0,249999.995254517,249999.995254517,2.0,tab:green
9919,0.0,0.0,238822.236000061,238822.236000061,2.0,tab:green
9920,0.0,0.0,26897.993347168,26897.993347168,2.0,tab:green
9921,0.0,0.0,0.0,0.0,,tab:grey
9922,0.0,0.0,0.0,0.0,,tab:grey
9923,0.0,0.0,0.0,0.0,,tab:grey
9924,0.0,0.0,0.0,0.0,,tab:grey
9925,0.0,0.0,0.0,0.0,,tab:grey
9926,0.0,0.0,0.0,0.0,,tab:grey
9927,0.0,0.0,0.0,0.0,,tab:grey
9928,0.0,0.0,0.0,0.0,,tab:grey
9929,0.0,0.0,0.0,0.0,,tab:grey
9930,0.0,0.0,0.0,0.0,,tab:grey
9931,0.0,0.0,0.0,0.0,,tab:grey
9932,0.0,0.0,0.0,0.0,,tab:grey
9933,0.0,0.0,0.0,0.0,,tab:grey
9934,0.0,0.0,0.0,0.0,,tab:grey
9935,0.0,0.0,0.0,0.0,,tab:grey
9936,0.0,0.0,0.0,0.0,,tab:grey
9937,0.0,0.0,0.0,0.0,,tab:grey
9938,0.0,0.0,0.0,0.0,,tab:grey
9939,0.0,0.0,0.0,0.0,,tab:grey
9940,0.0,0.0,0.0,0.0,,tab:grey
9941,0.0,0.0,0.0,0.0,,tab:grey
9942,0.0,0.0,0.0,0.0,,tab:grey
9943,0.0,0.0,0.0,0.0,,tab:grey
9944,0.0,0.0,0.0,0.0,,tab:grey
9945,0.0,0.0,0.0,0.0,,tab:grey
9946,0.0,0.0,0.0,0.0,,tab:grey
9947,0.0,0.0,0.0,0.0,,tab:grey
9948,0.0,0.0,0.0,0.0,,tab:grey
9949,0.0,0.0,0.0,0.0,,tab:grey
9950,0.0,0.0,0.0,0.0,,tab:grey
9951,0.0,0.0,0.0,0.0,,tab:grey
9952,0.0,0.0,0.0,0.0,,tab:grey
9953,0.0,0.0,0.0,0.0,,tab:grey
9954,0.0,0.0,0.0,0.0,,tab:grey
9955,0.0,0.0,0.0,0.0,,tab:grey
9956,0.0,0.0,0.0,0.0,,tab:grey
9957,0.0,0.0,0.0,0.0,,tab:grey
9958,0.0,0.0,0.0,0.0,,tab:grey
9959,0.0,0.0,0.0,0.0,,tab:grey
9960,0.0,0.0,0.0,0.0,,tab:grey
9961,0.0,0.0,0.0,0.0,,tab:grey
9962,0.0,0.0,0.0,0.0,,tab:grey
9963,0.0,0.0,0.0,0.0,,tab:grey
9964,0.0,0.0,0.0,0.0,,tab:grey
9965,0.0,0.0,0.0,0.0,,tab:grey
9966,0.0,0.0,0.0,0.0,,tab:grey
9967,0.0,0.0,0.0,0.0,,tab:grey
9968,0.0,0.0,0.0,0.0,,tab:grey
9969,0.0,0.0,0.0,0.0,,tab:grey
9970,0.0,0.0,0.0,0.0,,tab:grey
9971,0.0,0.0,0.0,0.0,,tab:grey
9972,0.0,0.0,0.0,0.0,,tab:grey
9973,0.0,0.0,0.0,0.0,,tab:grey
9974,0.0,0.0,0.0,0.0,,tab:grey
9975,0.0,0.0,0.0,0.0,,tab:grey
9976,0.0,0.0,0.0,0.0,,tab:grey
9977,0.0,0.0,0.0,0.0,,tab:grey
9978,0.0,0.0,0.0,0.0,,tab:grey
9979,0.0,0.0,0.0,0.0,,tab:grey
9980,0.0,0.0,0.0,0.0,,tab:grey
9981,0.0,0.0,0.0,0.0,,tab:grey
9982,0.0,0.0,0.0,0.0,,tab:grey
9983,0.0,0.0,0.0,0.0,,tab:grey
9984,0.0,0.0,0.0,0.0,,tab:grey
9985,0.0,0.0,0.0,0.0,,tab:grey
