,flood_depth
201,0.131034264197716
202,0.273476438951327
203,0.127175430890552
204,0.0
205,0.0192431153734865
206,0.000648894524491782
207,0.0
208,0.106059848509481
209,0.0266948526854627
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0453844641008948
215,0.00218258963690864
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.00557897015060727
222,0.332235385125692
223,0.00463313665368291
224,0.0
225,0.0
226,0.0
227,0.0035112386415487
228,0.2995498975118
229,0.00297303811097756
230,0.579403624242666
231,0.356014585346532
232,0.825194411044162
233,1.29961565921181
234,0.0
235,0.0
236,0.0
237,0.15781252472489
238,0.00317226488288946
239,0.147716441895799
240,0.00250119809751157
241,0.418861239044755
242,0.0
243,0.000459618038601345
244,0.0146880407958289
245,0.0
246,0.0546823729068861
247,0.0374503927027926
248,0.0145340422149806
249,0.00272895834724448
250,0.00202399713021738
251,0.00239782958288818
252,0.0
253,0.182566846537794
254,0.108008473007767
255,0.0208705456508191
256,0.0927561477378563
257,0.0142147401119569
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0116467029064685
263,0.0
264,0.0237017683154158
265,0.100093815061781
266,0.604600998750779
267,0.230612931428132
268,0.00457737588474893
269,0.221131700056571
270,0.174605277732567
271,0.430337130989444
272,2.24835549902033
273,0.91255458820919
274,0.0
275,0.0
276,0.0
277,0.0167148731372975
278,0.0280402148211444
279,0.0513066522755854
280,0.0
281,0.0
282,0.0326200740629452
283,0.0263592269685533
284,0.0342730443362157
285,0.285541437290333
286,0.0114927808104078
287,0.0
288,0.169386019801822
289,0.0628303333565041
290,0.0858737456492889
291,0.032229741414388
292,0.0358539722583912
293,0.0325668741155554
294,0.00566609700520833
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.00599241516831754
301,0.0225937889512108
302,0.00862520712393302
303,0.000743968126780627
304,0.0001435156879589
305,0.0649761241344232
306,0.000748131063538562
307,0.0
308,0.203290162060505
309,0.00857442568128252
310,0.0619641602056569
311,0.0656778319897413
312,0.0489036992744163
313,0.054650949548792
314,0.0384206238230811
315,0.0942762363978795
316,0.0142214371618403
317,0.0
318,0.00319975231765607
319,0.0
320,0.0243058894364188
321,0.651960431790194
322,0.0691771069822828
323,0.0
324,0.0
325,0.00751076804267036
326,0.0429824350905894
327,0.000665909653409905
328,0.0636243547712054
329,0.0
330,0.145376019003589
331,0.0122751714437688
332,0.000137917667404289
333,0.00185492211454471
334,0.0396072514742365
335,0.0157329852764423
336,0.0
337,0.0196966403444744
338,0.0902564622399582
339,0.117410513070913
340,0.156982509821911
341,0.153081722894761
342,0.243344554922971
343,0.130037346083429
344,0.0272869742257254
345,0.0924188065022179
346,0.114337658882141
347,0.175325261221992
348,0.304225467344974
349,0.0273929716155997
350,0.0246733734009963
351,0.0
352,0.00564634385138869
353,0.203617044382477
354,0.0871431069864747
355,0.0577756753975006
356,0.0
357,0.0045802885310942
358,0.00186513971399378
359,0.000204944368204603
360,0.119143547835173
361,0.0885241473162616
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0014156692518003
367,0.00183948059345341
368,0.000326216390669516
369,0.0304333816043151
370,0.000263054396005412
371,0.0
372,0.0
373,0.0
374,0.375030604522792
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.545758133442167
381,0.627931315856829
382,0.417830836203632
383,0.0588483674573762
384,0.000918176439073351
385,0.0994996073578837
386,0.0130687378070973
387,0.0
388,0.0342115223836556
389,0.0702194135883598
390,0.0987439466265713
391,0.0854572849924541
392,0.0377390804453793
