,structure_backyards
131,0.0005275335562603859
132,0.0013223502365244234
133,0.0006487456406467559
134,0.0
135,4.1660948702987755e-05
136,0.005028132531336581
137,0.0016159753164620126
138,0.0017872142332677169
139,0.0004471184858130293
140,8.778070653273834e-05
141,1.6098530801063904e-07
142,4.578698285073475e-09
143,4.724550396459117e-06
144,0.0
145,0.0
146,0.0
147,0.0
148,6.465913474044022e-05
149,0.0015310273231017503
150,0.002959909067859834
151,0.002570176573026323
152,2.8183386075743293e-08
153,0.0006997319658127883
154,1.4451799432158874e-06
155,0.0
156,0.0016370633260067565
157,8.300657173023797e-05
158,5.9411925239959516e-05
159,0.0001281261268024523
160,0.0006546088599576189
161,0.00015956237263147787
162,4.040861537214987e-09
163,9.56228844786485e-05
164,0.0012135466166122795
165,0.0
166,0.0
167,6.636780713757662e-06
168,1.1154521991055002e-05
169,0.0005844873013708822
170,0.00943210135930873
171,0.003233494626799735
172,1.1235215955270515e-05
173,0.00038552314214585273
174,6.796073031462601e-05
175,0.0004119735668227223
176,0.00023668462230821275
177,0.00014186919545874493
178,0.0034421029017922197
179,0.0014022820524033515
180,0.0014982421008495682
181,0.0016555872589716694
182,0.0005356164074016804
183,0.0
184,0.0
185,0.0
186,3.2931995710123017e-07
187,0.0
188,0.0
189,0.0
190,4.300419166667688e-09
191,0.0016652224976072038
192,0.005315348201898101
193,0.0012464485332229864
194,0.0018315264034572702
195,0.002610350473303008
196,0.008894880024817467
197,0.0003570056739242186
198,0.0002971635028730255
199,8.562699173866917e-06
200,0.0003725367561586521
201,0.0017668565176733862
202,0.0027804952096973498
203,0.0015626046300615207
204,0.0
205,5.3666748330144946e-05
206,4.876773048378907e-08
207,0.0
208,0.0008246015204189158
209,7.333948692754125e-05
210,8.444063555082262e-07
211,0.0
212,0.0
213,0.0
214,0.0003940570257055914
215,7.617037988717521e-07
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,1.2319815156477149e-06
222,0.004080819655031199
223,4.129602750842474e-06
224,0.0
225,0.0
226,0.0
227,7.071754283006254e-07
228,0.0028417489610958863
229,1.055825811032417e-06
230,0.006238085677867257
231,0.0016497323448871814
232,0.007864197767422825
233,0.0219972014631078
234,0.0
235,1.86399532888256e-08
236,0.0
237,0.0014858500973171415
238,1.2280147303636812e-06
239,0.0010771222859828073
240,1.0344526218203604e-05
241,0.02220325507560572
242,0.0
243,3.731576735114649e-08
244,3.330001722732411e-05
245,0.0
246,0.0003847085809996062
247,0.00026573956535583487
248,3.184160002848959e-05
249,1.122806647078153e-06
250,1.1277874260922528e-06
251,7.634545089474361e-07
252,0.0
253,0.001647442791873185
254,0.0005478587955641691
255,2.7217433489792812e-05
256,0.0008677907837818117
257,1.651506899383091e-05
258,0.0
259,0.0
260,0.0
261,1.1654023193646087e-06
262,3.3884095767459145e-05
263,0.0
264,0.00010230769700096708
265,0.0007330738891472012
266,0.00690713087247752
267,0.0006630483857179211
268,2.8706184005317194e-06
269,0.0638037408299945
270,0.04293534549339987
271,0.06986706151097523
272,0.3836258284367264
273,0.13701414023145872
274,0.0
275,0.0
276,0.0
277,6.485983113986136e-05
278,0.00014708963881585185
279,0.00032861199675213496
280,0.0
281,0.0
282,0.00021769776281531242
283,0.00014726558478406947
284,0.00028225693728644533
285,0.003427964686208567
286,4.717244462227778e-05
287,2.8948492287749848e-08
288,0.0022057285228427453
289,0.0010746690782680573
290,0.0017553545834639384
291,0.00019803018458185138
292,0.0003447090240416178
293,0.00018098728976420538
294,9.489476764247403e-06
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,1.0076897153123233e-05
301,0.00015031020165822995
302,2.3534030122042364e-05
303,2.2986991967371844e-07
304,3.2867139747102557e-09
305,0.0006039589343792388
306,5.433617827451711e-07
307,0.0
308,0.001676091306677064
309,1.566167111792705e-05
310,0.0006315542569349657
311,0.0006693436492263133
312,0.0004875803797298885
313,0.0006437109340297923
314,0.00022494272650617667
