,structure_subsidized_1
310,0.00047243272524980434
311,0.0005007009941905895
312,0.0003647333939162187
313,0.0004815264998967579
314,0.0001682678948665176
315,0.001176238365400714
316,3.0085843856228608e-05
317,0.0
318,1.725854723830388e-06
319,1.111879384298642e-05
320,4.875047447585923e-05
321,0.006402563502924339
322,5.6407337823699614e-05
323,0.0
324,0.0
325,5.315497375012918e-06
326,0.0002556871822900671
327,3.737229167507025e-08
328,0.00046002084332297016
329,3.425897554735154e-09
330,0.0009345795168995128
331,1.3285455832100873e-05
332,3.560689799232134e-08
333,4.4907788293204884e-07
334,0.00024227976809140092
335,4.032420835280506e-05
336,0.0
337,6.36993498057207e-05
338,0.0006564445027993655
339,0.0009394479839398555
340,0.0011155948828363048
341,0.0010098471354977562
342,0.002273000481698734
343,0.0010979524514414727
344,0.00010920838021628869
345,0.001616490349798635
346,0.0020557683279369813
347,0.002992121866086592
348,0.004998013937571905
349,0.0001124952790193771
350,0.0001150714873318817
351,9.958144031185482e-06
352,6.678325883065861e-06
353,0.002236305699221425
354,0.0007521433829497941
355,0.00044484685043845576
356,0.0
357,3.2200377272247753e-06
358,6.274435776496618e-07
359,1.0693972332382275e-08
360,0.0012937140563510563
361,0.0010573222841807914
362,1.6817613071742886e-05
363,5.833425360919363e-08
364,0.0
365,0.0
366,2.951147641721714e-07
367,7.622318430648455e-07
368,9.942820708448512e-08
369,0.00014612284479695987
370,1.0058441411336695e-08
371,0.0
372,0.0
373,0.0
374,0.0022472381253084255
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.006593600228867651
381,0.007611358439337959
382,0.003305030441317338
383,0.0002519957343940672
384,1.877035841747789e-07
385,0.0004994316136443768
386,2.4298983027551304e-05
387,0.0
388,0.00011359627131122766
389,0.00046127272333525756
390,0.00032393554091050185
391,0.0002537941554815634
392,7.271697559157119e-05
393,0.011075182139405762
394,0.015435688932475385
395,0.0
396,0.0
397,0.0
398,0.0002888264592073871
399,0.0
400,4.747801482657035e-06
401,0.0007911492183094301
402,0.0005563442256150343
403,2.8409810562759875e-05
404,0.00011345866805467971
405,0.0010669264072642349
406,2.2866265678929087e-05
407,0.000512809342451088
408,2.3371634254403247e-05
409,0.0
410,0.0
411,0.0
412,7.650873326788851e-06
413,6.906584888224693e-05
414,0.00010820978277763069
415,0.0001830904734824285
416,0.0
417,0.0
418,2.1652727747011093e-05
419,0.0029178199110400723
420,2.3587671002771145e-05
421,0.09267919578935262
422,0.04490706922232761
423,0.0018690349007106873
424,0.0460738901027368
425,0.25929525944765724
426,0.00021155583744143
427,0.00015222184405157334
428,4.719802129598094e-05
429,0.00027454771826839874
430,0.0
431,0.0008855394352021968
432,1.6394712910682975e-07
433,1.0686752260258123e-05
434,3.70000461984987e-05
435,4.177281520338369e-05
436,1.3924211518635365e-06
437,0.0022838607907266014
438,1.2350781608454757e-05
439,1.5254543854667213e-05
440,0.0027442001804704286
441,0.00044963425821147995
442,0.00024546421092398404
443,0.001261043287397698
444,0.0006209337253473053
445,1.908208377701204e-05
446,4.9664494916427325e-08
447,4.3606457921706045e-08
448,7.16372482754567e-08
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,1.0534946681249823e-05
456,5.540836477820378e-09
457,0.0006167023567508907
458,5.882003575368212e-07
459,3.7949073805658646e-07
460,0.0010480455663081708
461,2.2896492614951186e-05
462,5.441948791453208e-05
463,0.00020403195865205455
464,0.00023529203625226693
465,0.0003472836473186537
466,0.0001411543122996217
467,0.004612131288014581
468,0.034393126969963043
469,0.0001853540173368963
470,0.002361123592188966
471,0.06643458812901348
472,0.12317377456601306
473,0.0017614230713524927
474,0.0
475,0.0
476,0.0
477,0.0
478,2.8649133337161492e-05
479,0.0
480,2.399446202490855e-05
481,2.356767743480242e-05
482,4.1943565730172996e-05
483,0.0005844785353097816
484,0.0
485,2.451695363251185e-07
486,2.290881785687337e-07
487,0.0
488,0.0
489,0.0
490,1.6046705574538279e-06
491,3.755568755120649e-08
492,1.8198968005499749e-07
493,0.0008084319299731149
494,0.0001935501366836339
495,0.0
496,0.0005352146282626524
497,0.002254328474969707
498,0.0021981294811211816
499,0.0006047493960625918
500,0.0037064890450590787
