,TZ2013,Area,diss,Zones,BY5Origins,BY5Destina,PTODOrigin,PTODDestin,jobs_total,selected_centers
256,4335,1084193.27146,0,4335.0,0.0,0.0,0.0,0.0,0.0,False
257,4336,900862.479201,0,4336.0,0.0,0.0,0.0,0.0,0.0,False
258,4337,1100582.44615,0,4337.0,0.0,0.0,0.0,0.0,0.0,False
259,4338,895968.527443,0,4338.0,0.0,0.255618,0.0,0.259049,0.0,False
260,4339,707210.064187,0,4339.0,0.0,0.0,0.0,0.0,0.0,False
261,4340,744215.95031,0,4340.0,0.0,0.0,0.0,0.0,0.0,False
262,4341,783529.014947,0,4341.0,0.0,16.6621,0.0,10.3411,13.463900111004413,False
263,4342,777432.084329,0,4342.0,0.0,0.0,0.0,0.0,0.0,False
264,4343,960425.710611,0,4343.0,0.0,0.0,0.0,0.0,0.0,False
265,4344,1192631.4528,0,4344.0,0.0,0.0,0.0,0.0,0.0,False
266,4345,989634.158192,0,4345.0,0.0,0.0,0.0,0.0,0.0,False
267,4346,857672.375157,0,4346.0,0.0,0.0,0.0,0.0,0.0,False
268,4347,1145042.43482,0,4347.0,0.0,0.0,0.0,0.0,0.0,False
269,4348,963654.226684,0,4348.0,0.0,0.0,0.0,0.0,0.0,False
270,4349,741549.173425,0,4349.0,0.0,0.0,0.0,0.0,0.0,False
271,4350,1025927.7442,0,4350.0,0.0,0.0,0.0,0.0,0.0,False
272,4351,673600.181911,0,4351.0,0.0,0.0,0.0,0.0,0.0,False
273,4352,960208.459002,0,4352.0,0.0,0.0,0.0,0.0,0.0,False
274,4353,625539.590745,0,4353.0,0.0,0.0,0.0,0.0,0.0,False
275,4354,860932.256291,0,4354.0,0.0,0.0,0.0,0.0,0.0,False
276,4355,861735.445816,0,4355.0,0.0,0.0,0.0,0.0,0.0,False
277,4356,846645.745595,0,4356.0,0.0,0.0,0.0,0.0,0.0,False
278,4357,865587.084623,0,4357.0,0.0,0.0,0.0,0.0,0.0,False
279,4358,875840.150233,0,4358.0,0.0,0.0,0.0,0.0,0.0,False
280,4359,1086808.72052,0,4359.0,0.0,0.0,0.0,0.0,0.0,False
281,1434,141057.795968,0,1434.0,151.708,276.275,227.021,259.467,175.22605496182587,False
282,1435,251925.957613,0,1435.0,464.198,53.3708,650.703,55.5063,46.13758155667662,False
283,1436,246775.831049,0,1436.0,354.014,976.673,496.952,212.801,529.5439048028263,False
284,1437,100143.712869,0,1437.0,123.424,110.602,179.669,109.103,87.1936730184504,False
285,1438,78920.4126404,0,1438.0,0.0,375.685,0.0,380.165,206.1327142738873,False
286,1439,125791.446238,0,1439.0,205.2,377.747,279.526,172.586,380.76859015507057,False
287,1440,227815.979381,0,1440.0,478.53,328.412,623.92,254.405,263.78910064023694,False
288,1441,283092.993766,0,1441.0,764.855,949.027,1139.47,395.265,610.5699454522133,False
289,1442,88985.6313399,0,1442.0,111.863,4.85378,237.421,6.99192,3.7288966528948624,False
290,1443,141095.438677,0,1443.0,70.2733,22.8092,92.9233,23.1124,19.38251278917091,False
291,1501,258745.954782,0,1501.0,563.183,315.753,659.393,304.766,272.7103961806644,False
292,1502,1227507.27365,0,1502.0,1094.84,1128.55,1578.33,706.815,1405.8839302160375,False
293,1503,233353.16525,0,1503.0,102.989,703.73,179.249,308.465,335.5722074359341,False
