,structure_informal_settlements
233,0.023536483470404428
234,0.0
235,2.024067288746987e-08
236,0.0
237,0.0016134485593180562
238,1.3334713919689126e-06
239,0.0011696209487526766
240,1.1145844136579768e-05
241,0.02410654180102907
242,0.0
243,4.0520286118542685e-08
244,3.615968052073614e-05
245,0.0
246,0.00041774571128801023
247,0.00028856014456057465
248,3.4576020680088036e-05
249,1.2192284877135323e-06
250,1.224636994762185e-06
251,8.290167223397902e-07
252,0.0
253,0.001788918144506045
254,0.0005949065696524733
255,2.9554750463544364e-05
256,0.000942312950956724
257,1.793331260215773e-05
258,0.0
259,0.0
260,0.0
261,1.2654820944588278e-06
262,3.679391723197037e-05
263,0.0
264,0.00011109344518091465
265,0.0007960271446317933
266,0.00749149433047566
267,0.0007199881499663857
268,3.117134851660095e-06
269,0.06888402636366926
270,0.04629967720123058
271,0.07575832784387158
272,0.4126999274736639
273,0.14755514084084695
274,0.0
275,0.0
276,0.0
277,7.042971649641824e-05
278,0.00015972106894669824
279,0.0003568317919093529
280,0.0
281,0.0
282,0.0002363927171491512
283,0.00015991212440340355
284,0.0003064959578658894
285,0.0037223436565659664
286,5.122341274718765e-05
287,3.143446519970896e-08
288,0.0023951470702550767
289,0.0011669570700342123
290,0.0019060969399914748
291,0.0002150361712746047
292,0.0003743111631705684
293,0.0001965297054206196
294,1.0304392510120889e-05
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,1.0942258053796567e-05
301,0.00016321819997466028
302,2.5555032142150495e-05
303,2.4961016686527607e-07
304,3.568962937083497e-09
305,0.0006558243488498169
306,5.900233725741488e-07
307,0.0
308,0.0018200268714364271
309,1.7006628560551965e-05
310,0.0006857894398787482
311,0.0007268240238250492
312,0.000529451700846124
313,0.0006989900804952938
314,0.00024425984738688037
315,0.0017074427884849071
316,4.367299914613831e-05
317,0.0
318,2.5052729862054017e-06
319,1.6140184610786742e-05
320,7.076681778753759e-05
321,0.00928598652245666
322,8.188161942149946e-05
323,0.0
324,0.0
325,7.716044576631657e-06
326,0.0003711588130017104
327,5.425010081865036e-08
328,0.0006677721919204405
329,4.973077095583289e-09
330,0.0013566476858218736
331,1.9285339111114175e-05
332,5.168743256949872e-08
333,6.518872494174903e-07
334,0.00035169643755203364
335,5.853514115729766e-05
336,0.0
337,9.246679810507844e-05
338,0.0009529033105152082
339,0.0013637148153965645
340,0.0016194119266978622
341,0.0014659071321741623
342,0.0032995168282723563
343,0.001593801945640847
344,0.00015852829386235452
345,0.002346518249707697
346,0.002984179830876263
347,0.0043434027088353755
348,0.007255181522281797
349,0.00016329959857651517
350,0.0001670392558043444
351,1.4455370367849894e-05
352,9.694344023805282e-06
353,0.003246250208547231
354,0.0010918210397658301
355,0.0006457454280558226
356,0.0
357,4.674248313713383e-06
358,9.108051933624123e-07
359,1.5523508224425882e-08
360,0.0018779720172837917
361,0.00153482267058502
362,2.441266413640096e-05
363,8.467875523915203e-08
364,0.0
365,0.0
366,4.28392399604765e-07
367,1.1064655786425177e-06
368,1.4433126834844616e-07
369,0.00021211380696332886
370,1.4600963339037139e-08
371,0.0
372,0.0
373,0.0
374,0.0032619441493676234
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.009564516029617134
381,0.011039576135833817
382,0.004792996842364439
383,0.00036580025960429114
384,2.7247294476984034e-07
385,0.0007249813746450631
386,3.527271729805834e-05
387,0.0
388,0.0001648978131937176
389,0.0006695894370995674
390,0.0004702290109991156
391,0.00036841087086033405
392,0.00010555690005228078
393,0.016076605017001862
394,0.02240500452470449
395,0.0
396,0.0
397,0.0
398,0.0004192642149784651
399,0.0
400,6.891969894179566e-06
401,0.0011484424136749788
402,0.0008075964565379529
403,4.124004759110305e-05
404,0.0001646980665309867
405,0.0015487641395771146
406,3.319296630812287e-05
407,0.0007444006583967407
408,3.3926565853166014e-05
409,0.0
410,0.0
411,0.0
412,1.1106106442112847e-05
413,0.00010025687740971328
414,0.00015707871693527032
415,0.0002657764937648156
416,0.0
417,0.0
418,3.143137898759675e-05
419,0.004235545032154945
420,3.423288459451796e-05
421,0.13477054443965625
422,0.06568386381270122
423,0.002714736567559744
424,0.06706971247291912
425,0.3833241202854784
426,0.0003066195367122598
427,0.00022096719297809038
428,6.851325671997235e-05
429,0.00039853701038961096
430,0.0
431,0.0012854604704548018
432,2.3798776805830126e-07
433,1.551302747456824e-05
434,5.370974448169167e-05
435,6.0637957553298896e-05
436,2.0212565107696493e-06
437,0.003315281792990228
438,1.7928553947756902e-05
439,2.2143692692258856e-05
440,0.003983516391005462
441,0.0006526948909521482
442,0.00035631901585739614
443,0.0018305467075127875
444,0.0009013554077622176
445,2.7699799031146512e-05
446,7.209362165287837e-08
447,6.329969698312168e-08
448,1.039895539482436e-07
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,1.529266453729813e-05
456,8.043149725868291e-09
457,0.0008952130985093573
458,8.538392286824822e-07
459,5.508736520176255e-07
460,0.0015213564672215383
461,3.323684411847753e-05
462,7.899603084367561e-05
463,0.00029617542384975665
464,0.00034155295585006496
465,0.0005041214235270779
466,0.00020490142108009604
467,0.006694371464361344
468,0.0499120148530147
469,0.0002690622832309785
470,0.0034284541327847477
471,0.09745668985047587
472,0.18362090911387893
473,0.0025561756321272645
474,0.0
475,0.0
476,0.0
477,0.0
478,4.1587451618460226e-05
479,0.0
480,3.483067068131887e-05
481,3.4211144663422864e-05
482,6.0885821221218866e-05
483,0.0008484365835141991
484,0.0
485,3.5589126240743e-07
486,3.3254735598687145e-07
487,0.0
488,0.0
489,0.0
490,2.329360486626524e-06
491,5.4516320638848137e-08
492,2.641785678217706e-07
493,0.001173530220928715
494,0.00028095987583108155
495,0.0
496,0.0007769244603812696
497,0.0032724123023753814
498,0.0031908331177565546
499,0.000877862026542472
500,0.005380387323472856
501,6.590675724075555e-06
502,0.0009164747443757923
503,1.8413536310322576e-05
504,0.00020094942389631358
505,0.0002783820430282451
506,0.0022254812086993842
507,0.00022213454527910732
508,0.0001669545287309382
509,0.0002533781486516609
510,0.0
511,5.303957504061639e-06
512,6.929521304912302e-06
513,0.0005384167501121052
514,1.5955376965523044e-06
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.00018343364982562527
522,0.0009328500127108193
523,1.044718132166064e-06
524,0.0
525,7.557088838010208e-06
526,0.003761571273047702
527,0.0
528,0.0
529,0.0
530,0.0
531,0.008944318155215712
532,0.018665663076891038
533,8.793500939308265e-07
534,0.0
535,1.2811016382146858e-05
536,0.0003234054387351617
537,1.3024289517608521e-06
538,0.0002522587102719051
539,3.399704471063957e-06
540,8.429159987581516e-05
541,2.934809263833446e-05
542,0.000529866916513254
543,2.4265334450986924e-05
544,0.0006879140128863955
545,0.0
546,0.032857870359130806
547,0.00014054770115762942
548,0.0
549,0.002351032766124936
550,0.005230944958580219
551,0.006493268439799182
552,0.0017286994495011444
553,0.00013982142513395618
554,7.3019094083296734e-06
555,0.00026338043669560607
556,0.0040570360288705734
557,0.00018431832758966472
558,2.082515845205558e-06
559,0.0
560,0.0
561,4.8453831924051e-07
562,2.6922221880248052e-05
563,0.0
564,2.3101330851907185e-06
565,1.828942671962504e-05
566,0.0005396899460809192
567,0.0014820356759859756
568,3.747439143992495e-05
569,4.034682939695241e-07
570,8.056081779541838e-05
571,0.0014686722140742944
572,0.08205842420703063
573,0.2810483222116771
574,1.4916604447725356e-05
575,0.0
576,4.4145258201780056e-06
577,0.20114908326629521
578,0.14460157914505578
579,0.16518691196602198
580,0.0024549991377464516
581,0.00011693140787505512
582,3.84889710999243e-05
583,6.269293297160079e-05
584,0.0006595327958502958
585,2.0219009746449555e-05
586,0.0
587,0.0
588,9.738217023714382e-06
589,0.0007748140077988147
590,0.002556184454572895
591,0.0
592,0.00018216139132918018
593,0.0026230030131431403
594,0.002089758462834592
595,2.559744311274327e-05
596,0.00013511789601264911
597,0.0004260008797271338
598,0.00020029288446952312
599,9.148581577716894e-06
600,1.910012215375906e-08
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,1.397363905362859e-09
607,0.0005896621891251167
608,0.0
609,8.642074319062422e-05
610,0.0006492653842788544
611,0.017733507446598764
612,0.01230962509137659
613,0.06386080486951914
614,0.03446539095058112
615,0.037736813119407575
616,0.09889137733210175
617,0.06562557064985367
618,0.03651885619786671
619,0.030742551139095707
620,0.005326033157351809
621,0.0
622,3.4049450508366843e-06
623,0.012312041100133751
624,0.07326211901811212
625,0.014916481622159099
626,7.389517592359042e-06
627,8.123650234672402e-06
628,1.1938682473135364e-07
629,0.0
630,0.0
631,0.0
632,7.514655590057396e-09
633,8.988968751807492e-11
634,0.0
635,0.00031100391613349623
636,5.079322393252055e-06
637,0.0
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,1.0292342751220949e-06
645,0.00022288738001620832
646,0.0
647,2.1032290441203932e-05
648,0.0025254314318371007
649,0.0008495220586314482
