,contents_formal
285,0.0021551890459264905
286,3.414894183145844e-05
287,2.0956310133139308e-08
288,0.0014692615693155723
289,0.000777971380022808
290,0.0012688134127069378
291,0.00014335744751640313
292,0.00024954077544704563
293,0.0001310198036137464
294,6.869595006747258e-06
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,7.294838702531043e-06
301,0.00010881213331644015
302,1.7036688094766994e-05
303,1.6640677791018407e-07
304,2.379308624722331e-09
305,0.00043721623256654456
306,3.933489150494325e-07
307,0.0
308,0.0010983701893746518
309,1.133775237370131e-05
310,0.00045719295991916535
311,0.0004845493492166994
312,0.0003529678005640827
313,0.00046599338699686256
314,0.00016283989825792024
315,0.001131730714619601
316,2.9115332764092196e-05
317,0.0
318,1.6701819908036011e-06
319,1.0760123073857826e-05
320,4.717787852502506e-05
321,0.006369653016015827
322,5.458774628099963e-05
323,0.0
324,0.0
325,5.1440297177544365e-06
326,0.0002474392086678069
327,3.6166733879100245e-08
328,0.0004451814612802937
329,3.315384730388859e-09
330,0.0008705139125034687
331,1.2856892740742778e-05
332,3.445828837966581e-08
333,4.345914996116602e-07
334,0.00023446429170135568
335,3.902342743819843e-05
336,0.0
337,6.164453207005229e-05
338,0.0006339921964934336
339,0.0008936770272906528
340,0.0010184955887091612
341,0.000930946734319361
342,0.0019255101323492365
343,0.0010356798830052515
344,0.00010568552924156969
345,0.001562269207531624
346,0.0019660794154080477
347,0.0026812571993250953
348,0.0041673982274717525
349,0.00010886639905101009
350,0.00011135950386956294
351,9.636913578566595e-06
352,6.462896015870187e-06
353,0.0019431783110610756
354,0.0007215445158644642
355,0.0004304969520372152
356,0.0
357,3.116165542475589e-06
358,6.072034622416082e-07
359,1.0349005482950587e-08
360,0.001233242544587011
361,0.0010194986996010646
362,1.627510942426731e-05
363,5.645250349276802e-08
364,0.0
365,0.0
366,2.8559493306984327e-07
367,7.376437190950118e-07
368,9.622084556563075e-08
369,0.00014140920464221921
370,9.733975559358094e-09
371,0.0
372,0.0
373,0.0
374,0.001914681228346767
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.006303858710787704
381,0.00783622807810902
382,0.003497302096492647
383,0.00024386683973619405
384,1.8164862984656022e-07
385,0.00048067838737527444
386,2.3515144865372222e-05
387,0.0
388,0.00010993187546247838
389,0.0004463929580663783
390,0.00031215354643209485
391,0.0002452892451566235
392,7.037126670152051e-05
393,0.009381522884632277
394,0.013067830435794911
395,0.0
396,0.0
397,0.0
398,0.00027950947665231
399,0.0
400,4.594646596119711e-06
401,0.0007630451750193131
402,0.0005383976376919687
403,2.7493365060735353e-05
404,0.00010979871102065779
405,0.0009290829244894122
406,2.2128644205415245e-05
407,0.0004937311105056797
408,2.2617710568777335e-05
409,0.0
410,0.0
411,0.0
412,7.4040709614085655e-06
413,6.683791827314217e-05
414,0.00010471914462351353
415,0.00017718432917654373
416,0.0
417,0.0
418,2.0954252658397828e-05
419,0.00243438047897733
420,2.167322577234691e-05
421,0.11962483578883101
422,0.05593398856027555
423,0.002079263274059677
424,0.06074945830799157
425,0.4090809018112937
426,0.00023481173347620433
427,0.00014731146198539356
428,4.567550447998155e-05
429,0.0002656913402597407
430,0.0
431,0.0008231433406405064
432,1.5865851203886745e-07
433,1.0342018316378826e-05
434,3.580649632112778e-05
435,4.042530503553259e-05
436,1.3475043405130998e-06
437,0.0020056769208006693
438,1.1952369298504603e-05
439,1.4762461794839238e-05
