,structure_formal_backyards
363,4.704375291064002e-08
364,0.0
365,0.0
366,2.3799577755820278e-07
367,6.147030992458432e-07
368,8.018403797135896e-08
369,0.00011784100386851602
370,8.111646299465077e-09
371,0.0
372,0.0
373,0.0
374,0.0018143094751697695
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.005396069664586889
381,0.006294389531719925
382,0.0027510994789246147
383,0.0002032223664468284
384,1.5137385820546682e-07
385,0.00040276743035836836
386,1.9595954054476854e-05
387,0.0
388,9.1609896218732e-05
389,0.0003719941317219819
390,0.0002612383394439531
391,0.00020467270603351888
392,5.864272225126709e-05
393,0.008934729744079363
394,0.012467004284217613
395,0.0
396,0.0
397,0.0
398,0.00023292456387692507
399,0.0
400,3.828872163433093e-06
401,0.000638023563152766
402,0.0004486646980766405
403,2.2911137550612805e-05
404,9.149892585054818e-05
405,0.000860424521987286
406,1.8440536837846037e-05
407,0.0004135559213315226
408,1.8848092140647783e-05
409,0.0
410,0.0
411,0.0
412,6.170059134507137e-06
413,5.569826522761848e-05
414,8.726595385292796e-05
415,0.00014765360764711977
416,0.0
417,0.0
418,1.7461877215331523e-05
419,0.0023530805734194135
420,1.91060697115385e-05
421,0.08018916090445928
422,0.03818057786315596
423,0.0015596853217982004
424,0.03988452275400026
425,0.23117343090432724
426,0.00017772318696966002
427,0.00012275955165449464
428,3.806292039998464e-05
429,0.0002214094502164506
430,0.0
431,0.0007141447058082233
432,1.3221542669905624e-07
433,8.618348596982356e-06
434,2.9838746934273148e-05
435,3.368775419627716e-05
436,1.1229202837609167e-06
437,0.0018418232183279042
438,9.960307748753836e-06
439,1.2302051495699366e-05
440,0.0022130646616697
441,0.00036260827275119353
442,0.00019795500880966454
443,0.0010169703930626595
444,0.000500753004312343
445,1.5388777239525838e-05
446,4.0052012029376874e-08
447,3.516649832395649e-08
448,5.777197441569089e-08
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,8.495924742943405e-06
456,4.4684165143712725e-09
457,0.0004973406102829764
458,4.7435512704582345e-07
459,3.0604091778756975e-07
460,0.0008451980373452991
461,1.8464913399154182e-05
462,4.3886683802042e-05
463,0.00016454190213875366
464,0.00018975164213892495
465,0.00028006745751504327
466,0.00011383412282227557
467,0.003727025700099746
468,0.027919750065893614
469,0.00014947904623943253
470,0.0019429218190554003
471,0.05848155084925051
472,0.10891968553262958
473,0.0014288839792050794
474,0.0
475,0.0
476,0.0
477,0.0
478,2.310413978803346e-05
479,0.0
480,1.9350372600732704e-05
481,1.9006191479679372e-05
482,3.382545623401048e-05
483,0.0004713536575078884
484,0.0
485,1.9771736800412784e-07
486,1.8474853110381747e-07
487,0.0
488,0.0
489,0.0
490,1.2940891592369579e-06
491,3.0286844799360075e-08
492,1.4676587101209477e-07
493,0.0006519612338492863
494,0.00015608881990615637
495,0.0
496,0.0004316247002118165
497,0.0018180068346529896
498,0.0017726850654203078
499,0.000487701125856929
500,0.002989104068596032
501,3.6614865133753085e-06
502,0.0005091526357643289
