,prop_flood_prone
1168,0.233903133903134
1169,0.152658662092624
1170,0.0360438292964245
1171,0.0
1172,0.207465277777778
1173,0.138176638176638
1174,0.12962962962963
1175,0.454415954415954
1176,0.13744212962963
1177,0.0
1178,0.0769230769230769
1179,0.0
1180,0.0
1181,0.0
1182,0.182336182336182
1183,0.0
1184,0.0
1185,0.256627185561196
1186,0.0
1187,0.0
1188,0.0
1189,0.052991452991453
1190,0.988425925925926
1191,0.817663817663818
1192,0.44212962962963
1193,0.0
1194,0.352136752136752
1195,0.951388888888889
1196,0.725356125356125
1197,0.547768878718535
1198,0.00979020979020979
1199,0.0204545454545455
1200,0.38041958041958
1201,0.222159090909091
1202,0.241798642533937
1203,0.0
1204,0.0
1205,0.137891737891738
1206,0.390046296296296
1207,0.40968660968661
1208,0.315393518518519
1209,0.487179487179487
1210,0.0598461100028498
1211,0.0
1212,0.0
1213,0.0
1214,0.0
1215,0.199074074074074
1216,0.178223495702006
1217,0.00572573718866304
1218,0.118051575931232
1219,0.84315970234688
1220,0.0
1221,0.0
1222,0.0
1223,0.0
1224,0.377840909090909
1225,0.0850819200919805
1226,0.645272206303725
1227,0.214428286284574
1228,0.198964922369178
1229,1.0
1230,0.0686868686868687
1231,0.0
1232,0.0
1233,0.303826384922901
1234,0.175949728648957
1235,0.3012912482066
1236,0.585714285714286
1237,0.0
1238,0.34017094017094
1239,0.22974537037037
1240,0.405436013590034
1241,0.0
1242,0.260223048327138
1243,0.0
1244,0.0
1245,0.14709236031927
1246,0.851359167148641
1247,0.0964265456608055
1248,0.0
1249,0.0
1250,0.0
1251,0.0745589072282299
1252,0.27680869316557
1253,0.0
1254,0.0
1255,0.0
1256,0.0
1257,0.0
1258,0.0
1259,0.00227855311876958
1260,0.665900603274921
1261,0.254700854700855
1262,0.0
1263,0.177538287010777
1264,0.856401384083045
1265,0.952991452991453
1266,0.997696515980421
1267,1.0
1268,0.971655328798186
1269,1.0
1270,0.948717948717949
1271,0.445601851851852
1272,0.179487179487179
1273,0.106077981651376
1274,0.474494157879738
1275,0.644578313253012
1276,0.0310344827586207
1277,0.0
1278,0.0
1279,0.229059829059829
1280,0.155092592592593
1281,0.0
1282,0.0
1283,0.0
1284,0.798866855524079
1285,0.0375505488157135
1286,0.0
1287,0.015625
1288,0.272364672364672
1289,0.0
1290,0.0135173190650521
1291,0.397707736389685
1292,0.104718066743383
1293,0.0
1294,0.711805555555556
1295,0.37037037037037
1296,0.236925744004623
1297,0.0
1298,0.0627880184331797
1299,0.157985117344018
1300,0.0
1301,0.0
1302,0.148148148148148
1303,0.37037037037037
1304,0.128205128205128
1305,0.0512236767216847
1306,0.598290598290598
1307,0.0
1308,0.0750794109153913
1309,0.593162393162393
1310,0.513888888888889
1311,0.422222222222222
1312,0.00694444444444444
1313,0.380626780626781
1314,0.0
1315,0.124645892351275
1316,0.314334085778781
1317,0.144675925925926
1318,0.0
1319,0.208333333333333
1320,0.173504273504273
1321,0.0813078703703704
1322,0.0
1323,0.0
1324,0.0
1325,0.210826210826211
1326,0.283564814814815
1327,0.131054131054131
1328,0.0
1329,0.0
1330,0.0826210826210826
1331,0.171585648148148
1332,0.406232453677709
1333,0.0806818181818182
1334,0.131468531468531
1335,0.278735632183908
1336,0.114529914529915
1337,0.0196759259259259
1338,0.0
1339,0.0
1340,0.03125
1341,0.62962962962963
1342,0.811342592592593
1343,0.374358974358974
1344,0.934027777777778
1345,0.376068376068376
1346,0.599430199430199
1347,0.672453703703704
1348,0.327065527065527
1349,0.104166666666667
1350,0.592592592592593
1351,0.690972222222222
1352,0.527065527065527
1353,0.328
1354,0.137232524964337
1355,0.257342657342657
1356,0.792045454545455
1357,0.989004792782633
1358,0.978009259259259
1359,0.185754985754986
1360,0.0
1361,0.0256410256410256
1362,0.381766381766382
1363,0.286168981481482
1364,0.000284900284900285
1365,0.0
1366,0.0
1367,0.147858796296296
1368,0.0314016557236654
1369,0.40974212034384
1370,0.339249928428285
1371,0.970907016543069
1372,0.578034682080925
1373,0.458049886621315
1374,0.0
1375,0.0
1376,0.188571428571429
1377,0.0723098995695839
1378,0.35667333523864
1379,0.0458978772231784
1380,0.0515669515669516
1381,0.661747685185185
1382,0.430150184188155
1383,0.0
1384,0.0
1385,0.0444571102878313
1386,0.0178314639056658
1387,0.437321937321937
1388,0.108475556841192
1389,0.0
1390,0.0103926096997691
1391,0.490005711022273
1392,0.443778538812785
1393,0.0301464254952627
